A=10    ->	Loss=0.00018882453696694056,	Liq_discount=0.18452354554605455
A=11	->	Loss=0.00020976894742815943,	Liq_discount=0.16902861665535085
A=12	->	Loss=0.0002309424959520423,	Liq_discount=0.1559359732882567
A=13	->	Loss=0.0002573257540570251,	Liq_discount=0.14473347271263914
A=15	->	Loss=0.0003034941082422882,	Liq_discount=0.1265603805789942
A=17	->	Loss=0.000349400530901256,	Liq_discount=0.11246099531062737
A=19	->	Loss=0.0003922060614623324,	Liq_discount=0.10120512554636163
A=21	->	Loss=0.0004349490005506884,	Liq_discount=0.09201559289116457
A=23	->	Loss=0.0004754270321689069,	Liq_discount=0.08437138279842138
A=26	->	Loss=0.0005422216846788075,	Liq_discount=0.07505646748624195
A=29	->	Loss=0.0006107351861362842,	Liq_discount=0.06762862268063141
A=32	->	Loss=0.00067228145005515,	Liq_discount=0.06156342519720315
A=36	->	Loss=0.0007572234003570433,	Liq_discount=0.05503115565704808
A=40	->	Loss=0.0008363492762720703,	Liq_discount=0.049789492343513375
A=45	->	Loss=0.0009615185018121153,	Liq_discount=0.04456837003632652
A=50	->	Loss=0.0010642939879310464,	Liq_discount=0.04037739995753964
A=56	->	Loss=0.0011683989174705678,	Liq_discount=0.03632693470371606
A=62	->	Loss=0.0013526664601211658,	Liq_discount=0.03314754685660437
A=70	->	Loss=0.0014748513030208876,	Liq_discount=0.029674814917291847
A=78	->	Loss=0.0016299761770645804,	Liq_discount=0.026963862306825015
A=86	->	Loss=0.0018003387060629072,	Liq_discount=0.024795946368329602
A=96	->	Loss=0.001984477335905015,	Liq_discount=0.022601197898177716
A=107	->	Loss=0.0035672979392052826,	Liq_discount=0.02205128873535167
A=120	->	Loss=0.0038550749467944124,	Liq_discount=0.020345438209383726
A=133	->	Loss=0.004102817247769324,	Liq_discount=0.018987491032560366
A=149	->	Loss=0.0044515016049282785,	Liq_discount=0.017741887610873253
A=166	->	Loss=0.004755698078281523,	Liq_discount=0.016688038818119644
A=185	->	Loss=0.0050924164326501846,	Liq_discount=0.015801034129688807
A=206	->	Loss=0.0069129565689551396,	Liq_discount=0.0165166210796307
A=230	->	Loss=0.007440633352209347,	Liq_discount=0.016041145560777847
A=256	->	Loss=0.00796749802086424,	Liq_discount=0.015693190912162702
A=285	->	Loss=0.008548927492649573,	Liq_discount=0.01548667051393171
A=318	->	Loss=0.010363109732459517,	Liq_discount=0.016571357495298367
A=354	->	Loss=0.011324053407364953,	Liq_discount=0.01689698676692497
A=395	->	Loss=0.012104513543860386,	Liq_discount=0.017096237094024747
A=440	->	Loss=0.013999894271089814,	Liq_discount=0.018473444080797763
A=490	->	Loss=0.015043498057733256,	Liq_discount=0.01905706771073401
A=546	->	Loss=0.015609422560398125,	Liq_discount=0.019209886817653232
A=608	->	Loss=0.015740751368440414,	Liq_discount=0.018974122312570785
A=678	->	Loss=0.01579270346434847,	Liq_discount=0.018692492589919674
A=755	->	Loss=0.015912736897746776,	Liq_discount=0.018516786614915848
A=842	->	Loss=0.01589641716461697,	Liq_discount=0.01823170075528946
A=938	->	Loss=0.01589239589447767,	Liq_discount=0.017988889529833574
A=1045	->	Loss=0.016095218569445104,	Liq_discount=0.017976826349789365
A=1164	->	Loss=0.015581690456266397,	Liq_discount=0.01727195057468167
A=1297	->	Loss=0.01588926859477636,	Liq_discount=0.017405836709391664
A=1445	->	Loss=0.01580374326125672,	Liq_discount=0.017165186868839277
A=1611	->	Loss=0.015481952551468664,	Liq_discount=0.0167035808930045
A=1795	->	Loss=0.015381104086798608,	Liq_discount=0.016477676017010112
A=2000	->	Loss=0.01531500637938299,	Liq_discount=0.016299291421650097

